ls_id,cluster,classifications,disturbed_weighted_fraction,disturbed_unweighted_fraction,merger_weighted_fraction,merger_unweighted_fraction,tail_weighted_fraction,tail_unweighted_fraction,problem_weighted_fraction,problem_unweighted_fraction,disturbed_weighted_votes,disturbed_unweighted_votes,merger_weighted_votes,merger_unweighted_votes,tail_weighted_votes,tail_unweighted_votes,problem_weighted_votes,problem_unweighted_votes,ra,dec,type,z_spec,z_phot_mean,z_phot_median,z_phot_l95,z_phot_u95,dered_mag_g,mag_g,snr_g,dered_mag_r,mag_r,snr_r,dered_mag_z,mag_z,snr_z,g_r,sersic,shape_r
9906602778170029,S0560,10.0,0.125,0.125,0.0,0.0,1.0,1.0,0.2,0.2,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,90.44867716946699,-59.37549536319105,SER,-99.0,0.048934,0.048272,0.022477,0.08117100000000001,18.25948,18.382032000000002,572.2256,17.849754,17.932308,849.5118,17.6091,17.655276999999998,358.42822,0.44972399999999996,0.711966,5.261388
9906602826208740,S0560,10.0,0.1,0.1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,89.29648582890579,-59.20671280594229,SER,-99.0,0.154719,0.15448800000000001,0.090691,0.213684,18.738256,18.894993,364.17874,17.850813,17.956392,721.7412,17.261772,17.320826999999998,462.55164,0.938601,1.9386869999999998,3.23829
9906602826210767,S0560,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,89.39255001585155,-59.24499324559322,SER,-99.0,0.037969,0.035837,0.023826,0.065768,17.426638,17.58865,621.59753,16.944622,17.053755,970.4237,16.667028,16.728073000000002,508.76932,0.534895,0.927683,5.3357660000000005
9906602826271183,S0560,10.0,0.1,0.1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,89.62162305315748,-59.315210387981345,SER,-99.0,0.142691,0.141507,0.116928,0.173592,18.32984,18.473734,551.374,17.693842,17.790771,893.922,17.25498,17.309196,507.1431,0.682962,1.392068,2.8480090000000002
9906602826271203,S0560,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.62260781221386,-59.12508636380114,SER,-99.0,0.039282,0.038071,0.023952,0.063206,16.881662,17.026583,1285.4254,16.227610000000002,16.325229999999998,2234.2612,15.787631,15.842235,1660.9994,0.701353,2.24375,2.340032
9906602826272543,S0560,10.0,0.16666666666666666,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,89.68647164888881,-59.22125569476057,SER,-99.0,0.029789999999999997,0.0288,0.019685,0.043897000000000005,15.629795999999999,15.767664000000002,2425.6084,14.942223,15.035092,4115.561,14.448885,14.500832,2792.1443,0.732572,0.6930470000000001,7.127224000000001
9906602826273859,S0560,10.0,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3,0.3,3.0,3.0,2.0,2.0,0.0,0.0,3.0,3.0,89.74224476183839,-59.19056660760814,SER,-99.0,0.024287,0.02278,0.009334,0.051937,18.663399,18.799656,465.52402,18.391370000000002,18.483154000000003,594.2438,18.304389999999998,18.355729999999998,222.76268,0.316502,0.6700050000000001,2.679527
9906602826276860,S0560,10.0,0.25,0.25,0.0,0.0,0.5,0.5,0.2,0.2,2.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,89.87805417138182,-59.3046484048759,SER,-99.0,0.044610000000000004,0.044599,0.022372,0.07169400000000001,17.638679999999997,17.778353,525.8662,17.142157,17.236242,772.3489400000001,16.858052999999998,16.91068,347.58847000000003,0.5421100000000001,1.69134,6.1314470000000005
9906602826277932,S0560,10.0,0.375,0.375,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.2,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,89.92794818495409,-59.19764160248818,SER,-99.0,0.06250900000000001,0.06336599999999999,0.017028,0.091751,18.177670000000003,18.3066,512.1786,17.783392000000003,17.870241,747.54535,17.552238,17.600819,335.86716,0.436359,1.9268009999999998,3.9487959999999998
9906602826336204,S0560,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,90.08351576253136,-59.36622845863936,SER,-99.0,0.033523000000000004,0.029789999999999997,0.02054,0.067647,17.685925,17.835003,606.6774,16.941103,17.041525,1159.4436,16.427661999999998,16.483832999999997,598.2432,0.793478,0.7360939999999999,6.568775
9906602826337544,S0560,10.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.1,0.1,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,90.14547960412588,-59.235135370199735,SER,-99.0,0.03482,0.033523000000000004,0.020005000000000002,0.053006,17.871695000000003,17.994736,472.64545,17.430191,17.513075,704.7383,17.179459,17.225819,330.5254,0.48166099999999995,1.643676,8.045866
9906602826337683,S0560,10.0,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3,0.3,3.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,90.15164311568115,-59.255667239670906,REX,-99.0,0.06595,0.061187,0.034707,0.11649300000000001,18.797056,18.922178,314.97916000000004,18.347186999999998,18.431473,431.09702000000004,18.063368,18.110512,178.53348,0.490705,1.0,3.4275580000000003
9906602826337929,S0560,10.0,0.3,0.3,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,90.16217408551607,-59.14769905095829,SER,-99.0,0.042755,0.040167,0.02663,0.071298,18.037743,18.15111,792.3493,17.630144,17.706509,1060.9708,17.375809,17.418523999999998,534.9656,0.444601,1.2034280000000002,2.507476
9906602826341568,S0560,10.0,0.3,0.3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,90.32180585026609,-59.237374793137704,SER,-99.0,0.069803,0.067455,0.035524,0.091302,17.358257000000002,17.469804999999997,997.27515,16.830427,16.905567,1492.2368,16.476967000000002,16.518997,790.86255,0.564238,1.036637,3.0091740000000002
9906602826342040,S0560,10.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.1,0.1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,90.34048221541471,-59.316911511271066,SER,-99.0,0.036536,0.034548,0.015739,0.062652,18.788803,18.91046,366.35526,18.449286999999998,18.531237,484.02396,18.29212,18.33796,175.50943,0.379223,1.363864,3.458196
9906602826401544,S0560,10.0,0.5,0.5,0.0,0.0,0.8,0.8,0.0,0.0,5.0,5.0,0.0,0.0,4.0,4.0,0.0,0.0,90.55645228782733,-59.357888444346244,SER,-99.0,0.04655,0.045741000000000004,0.029664,0.067861,16.409860000000002,16.5233,1469.6241,15.824201,15.900615,2217.3508,15.420206,15.462948999999998,1057.197,0.622685,0.715548,8.041706
9906602826403153,S0560,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.0,90.62714448965755,-59.15859169605256,REX,-99.0,0.052830999999999996,0.051586,0.02061,0.085765,18.725882000000002,18.833567000000002,432.04068,18.208675,18.281214000000002,626.0282599999999,17.910942000000002,17.951517000000003,263.6232,0.552353,1.0,2.132132
9906602826465581,S0560,10.0,0.375,0.375,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.2,0.2,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,90.98446546496308,-59.149364240590906,SER,-99.0,0.034651999999999995,0.032875,0.018481,0.064952,16.48154,16.595612,1738.0376,15.973172,16.050013,2324.9019,15.630538,15.673519,1351.3037,0.545599,1.692378,7.025898
9906602826469111,S0560,10.0,0.7894736842105263,0.8,0.0,0.0,0.5333333333333333,0.5,0.0,0.0,7.5,8.0,0.0,0.0,4.0,4.0,0.0,0.0,91.14688505258185,-59.18720671971016,SER,-99.0,0.057673,0.056963,0.027399,0.082629,16.103827,16.222952,2114.032,15.510704,15.590948999999998,3147.9712,15.035301,15.080186999999999,1990.5822,0.632003,1.547828,6.231403
9906602826470195,S0560,10.0,0.7,0.7,0.0,0.0,1.0,1.0,0.0,0.0,7.0,7.0,0.0,0.0,7.0,7.0,0.0,0.0,91.19720698796995,-59.19625748218365,SER,-99.0,0.044466000000000006,0.043720999999999996,0.02264,0.072183,18.616121,18.73462,485.59558,18.340002,18.419825,576.04315,18.215892999999998,18.260542,215.78707999999997,0.314795,0.836684,4.940062999999999
9906602874832421,S0560,10.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.25,0.25,0.1,0.1,4.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,89.35370748514259,-58.9295749668709,SER,-99.0,0.042259,0.042716000000000004,0.023758,0.060958000000000005,16.114937,16.253248000000003,1575.911,15.56144,15.654608999999999,2530.6057,15.191135000000001,15.24325,1337.0422,0.598639,0.936884,4.6739370000000005
9906602874833727,S0560,11.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,89.41988497305825,-58.982283159337214,SER,-99.0,0.12066199999999999,0.11876500000000001,0.081635,0.190384,18.729647,18.862589,366.08926,18.090339999999998,18.17989,606.31055,17.652235,17.702326,327.92093,0.682699,1.040149,3.00621
9906602874835231,S0560,10.0,0.5555555555555556,0.5555555555555556,0.0,0.0,0.4,0.4,0.1,0.1,5.0,5.0,0.0,0.0,2.0,2.0,1.0,1.0,89.49084043584381,-58.97999775308319,SER,-99.0,0.009983,0.008685,0.004418,0.0238,15.854510999999999,15.988707999999999,1390.0363,15.523657,15.614053,1812.2239,15.352885,15.403448000000001,758.2269,0.374655,1.437249,12.269176
9906602874835475,S0560,10.0,0.2,0.2,0.5,0.5,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,89.50348036706882,-59.049534673976545,SER,-99.0,0.028431,0.027666000000000003,0.012265,0.043405,17.032107999999997,17.161596,635.5531,16.568396,16.655620000000003,922.3678,16.295168,16.343957999999997,425.1502,0.505976,1.913213,9.236672
9906602874836948,S0560,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,89.57599452214707,-59.03227859551985,SER,-99.0,0.022894,0.022647,0.008864,0.04412,18.746763,18.880053,380.2363,18.503735,18.59352,452.21722,18.434792,18.485012,165.2817,0.286533,0.660517,5.561952
9906602874896939,S0560,10.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.3,0.3,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,89.78093593807772,-59.06201621219484,SER,-99.0,0.03927,0.038038,0.024116,0.060099,18.137895999999998,18.277431,603.5088,17.526224,17.620217999999998,1041.1072,17.162516,17.215092000000002,521.8304,0.657213,0.95593,3.000085
9906602874898994,S0560,10.0,0.1,0.1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,89.87542745741641,-59.02159737099034,SER,-99.0,0.05196,0.052584000000000006,0.030076,0.07448300000000001,18.160425,18.2854,558.229,17.591053,17.675238,865.0700699999999,17.198523,17.245613,435.9638,0.610163,0.947102,3.9514099999999996
9906602874900707,S0560,10.0,0.25,0.25,0.5,0.5,0.5,0.5,0.2,0.2,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,89.95467831994915,-58.935373508291924,SER,-99.0,0.089638,0.090111,0.058634000000000006,0.11813,17.981695000000002,18.102102,608.0787,16.971523,17.052630999999998,1344.5521,16.15411,16.199478,1030.3722,1.0494709999999998,1.7595939999999999,6.143663
9906602874970346,S0560,10.0,0.5,0.5,0.0,0.0,0.5,0.5,0.2,0.2,4.0,4.0,0.0,0.0,2.0,2.0,2.0,2.0,90.60839459785471,-59.105373859506685,SER,-99.0,0.045850999999999996,0.045211,0.019077,0.078799,18.786255,18.897335,259.64276,18.373947,18.448774,335.47064,18.142292,18.184147,127.92858000000001,0.448561,2.0,5.497832
9906602875027842,S0560,10.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.1,0.1,6.0,6.0,2.0,2.0,4.0,4.0,1.0,1.0,90.73402416525542,-59.04003111473765,SER,-99.0,0.025886000000000003,0.027264,0.007995,0.048465,17.08354,17.20666,1136.6136,16.819246,16.902182,1397.1458,16.712954,16.759344,545.9643,0.304478,0.9083100000000001,4.769115
9906602875030391,S0560,10.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,0.1,0.1,3.0,3.0,0.0,0.0,3.0,3.0,1.0,1.0,90.83875849824088,-58.998663942408925,SER,-99.0,0.026338999999999998,0.026054,0.016881,0.037403,17.006716,17.128567,1185.0557,16.542612,16.624693,1530.473,16.263514999999998,16.30943,720.24146,0.5038739999999999,0.9280139999999999,5.189644
9906602875035277,S0560,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.04978430465547,-58.94213104987895,SER,-99.0,0.036657,0.026685000000000004,0.009998,0.125143,18.70448,18.816092,380.4941,18.053059,18.128242,604.4985,17.689474,17.731527,281.02924,0.6878489999999999,1.893757,4.769188
9906602875038418,S0560,10.0,0.1,0.1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,91.18418275480856,-58.89029890048121,SER,-99.0,0.08029299999999999,0.079917,0.05667899999999999,0.11335799999999999,18.68617,18.792053,617.9954,18.001058999999998,18.072382,988.5151,17.500877,17.540773,622.1016,0.719671,0.686628,2.300837
9906602923663344,S0560,10.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,88.67817969213665,-58.654998519154,SER,-99.0,0.024547,0.023605,0.014653,0.038293,16.748086999999998,16.923054,1343.2808,16.277073,16.394932,1931.641,15.967948000000002,16.033873,1102.0007,0.528122,1.400411,6.167922
9906602923664799,S0560,10.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.5,0.5,0.3,0.3,2.0,2.0,0.0,0.0,1.0,1.0,3.0,3.0,88.74159061197601,-58.802938953503855,REX,-99.0,0.057218,0.055420000000000004,0.026712,0.098637,18.48069,18.636091,359.7133,18.07435,18.179031,430.8622,17.832756,17.89131,198.80823999999998,0.45706,1.0,3.240495
9906602923721259,S0560,10.0,0.1111111111111111,0.1111111111111111,1.0,1.0,0.0,0.0,0.1,0.1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,88.8198714904312,-58.85474897119729,SER,-99.0,0.18342999999999998,0.181536,0.136246,0.23681100000000002,18.684998,18.841122,308.0299,17.769955,17.875122,648.5738,17.187304,17.246129999999997,431.9692,0.966,1.7548380000000001,3.0924970000000003
